Age,Attrition,BusinessTravel_FK,DailyRate,Department_FK,DistanceFromHome,Education,EducationField_FK,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender_FK,HourlyRate,JobInvolvement,JobLevel,JobRole_FK,JobSatisfaction,MaritalStatus_FK,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumberProjects,WorkAccident
41,Yes,1002,1102,2002,1,2,3001,1,1,2,4000,94,3,2,5007,4,6002,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,2,0
49,No,1001,279,2001,8,1,3001,1,2,3,4001,61,2,2,5006,2,6001,5130,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7,5,0
37,Yes,1002,1373,2001,2,2,3004,1,4,4,4001,92,2,1,5002,3,6002,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,7,0
33,No,1001,1392,2001,3,4,3001,1,5,4,4000,56,3,1,5006,3,6001,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,5,0
27,No,1002,591,2001,2,1,3003,1,7,1,4001,40,3,1,5002,2,6001,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,2,0
32,No,1001,1005,2001,2,2,3001,1,8,4,4001,79,3,1,5002,4,6002,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,2,0
59,No,1002,1324,2001,3,3,3003,1,10,3,4000,81,4,1,5002,1,6001,2670,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0,6,0
30,No,1002,1358,2001,24,1,3001,1,11,4,4001,67,3,1,5002,3,6000,2693,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0,5,0
38,No,1001,216,2001,23,3,3001,1,12,4,4001,44,2,3,5004,3,6002,9526,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8,5,0
36,No,1002,1299,2001,27,3,3003,1,13,3,4001,94,3,2,5000,3,6001,5237,16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7,2,0
35,No,1002,809,2001,16,3,3003,1,14,1,4001,84,4,1,5002,2,6001,2426,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3,2,0
29,No,1002,153,2001,15,2,3001,1,15,4,4000,49,2,2,5002,3,6002,4193,12682,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8,6,0
31,No,1002,670,2001,26,1,3001,1,16,1,4001,31,3,1,5006,3,6000,2911,15170,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3,4,0
34,No,1002,1346,2001,19,2,3003,1,18,2,4001,93,3,1,5002,4,6000,2661,8758,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2,2,0
28,Yes,1002,103,2001,24,3,3001,1,19,3,4001,50,2,1,5002,3,6002,2028,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3,2,0
29,No,1002,1389,2001,21,4,3001,1,20,2,4000,51,4,3,5004,1,6000,9980,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8,2,0
32,No,1002,334,2001,5,2,3001,1,21,1,4001,80,4,1,5006,2,6000,3298,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5,2,0
22,No,1000,1123,2001,16,2,3003,1,22,4,4001,96,4,1,5002,4,6000,2935,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0,4,0
53,No,1002,1219,2002,2,4,3001,1,23,1,4000,78,2,4,5003,4,6001,15427,22021,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7,2,1
38,No,1002,371,2001,2,3,3001,1,24,4,4001,45,3,1,5006,4,6002,3944,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2,5,0
24,No,1000,673,2001,11,2,3004,1,26,1,4000,96,4,2,5004,3,6000,4011,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3,6,0
36,Yes,1002,1218,2002,9,4,3001,1,27,3,4001,82,2,1,5008,1,6002,3407,6986,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3,2,0
34,No,1002,419,2001,7,4,3001,1,28,1,4000,53,3,3,5005,2,6002,11994,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11,6,0
21,No,1002,391,2001,15,2,3001,1,30,3,4001,96,3,1,5006,4,6002,1232,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0,2,0
34,Yes,1002,699,2001,6,1,3003,1,31,2,4001,83,3,1,5006,1,6002,2960,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3,2,0
53,No,1002,1282,2001,5,3,3004,1,32,3,4000,58,3,5,5003,3,6000,19094,10735,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8,5,0
